State,Date,Count
All solar : Middle Atlantic,Jun 2016,391
All solar : Middle Atlantic,Jul 2016,395
All solar : Middle Atlantic,Aug 2016,381
All solar : Middle Atlantic,Sep 2016,315
All solar : Middle Atlantic,Oct 2016,280
All solar : Middle Atlantic,Nov 2016,225
All solar : Middle Atlantic,Dec 2016,202
All solar : Middle Atlantic,Jan 2017,200
All solar : Middle Atlantic,Feb 2017,278
All solar : Middle Atlantic,Mar 2017,370
All solar : Middle Atlantic,Apr 2017,409
All solar : Middle Atlantic,May 2017,450
All solar : Middle Atlantic,Jun 2017,482
All solar : Middle Atlantic,Jul 2017,493
All solar : Middle Atlantic,Aug 2017,477
All solar : Middle Atlantic,Sep 2017,413
All solar : Middle Atlantic,Oct 2017,320
All solar : Middle Atlantic,Nov 2017,261
All solar : Middle Atlantic,Dec 2017,225
All solar : Middle Atlantic,Jan 2018,275
All solar : Middle Atlantic,Feb 2018,300
All solar : Middle Atlantic,Mar 2018,438
All solar : Middle Atlantic,Apr 2018,481
All solar : Middle Atlantic,May 2018,539
All solar : Middle Atlantic,Jun 2018,575
All solar : Middle Atlantic,Jul 2018,615
All solar : Middle Atlantic,Aug 2018,561
All solar : Middle Atlantic,Sep 2018,439
All solar : Middle Atlantic,Oct 2018,382
All solar : Middle Atlantic,Nov 2018,286
All solar : Middle Atlantic,Dec 2018,284
All solar : Middle Atlantic,Jan 2019,326
All solar : Middle Atlantic,Feb 2019,391
All solar : Middle Atlantic,Mar 2019,551
All solar : Middle Atlantic,Apr 2019,584
All solar : Middle Atlantic,May 2019,643
All solar : Middle Atlantic,Jun 2019,674
All solar : Middle Atlantic,Jul 2019,731
All solar : Middle Atlantic,Aug 2019,675
All solar : Middle Atlantic,Sep 2019,586
All solar : Middle Atlantic,Oct 2019,458
All solar : Middle Atlantic,Nov 2019,373
All solar : Middle Atlantic,Dec 2019,316
All solar : Middle Atlantic,Jan 2020,403
All solar : Middle Atlantic,Feb 2020,480
All solar : Middle Atlantic,Mar 2020,655
All solar : Middle Atlantic,Apr 2020,713
All solar : Middle Atlantic,May 2020,844
All solar : Middle Atlantic,Jun 2020,857
All solar : Middle Atlantic,Jul 2020,864
All solar : Middle Atlantic,Aug 2020,783
All solar : Middle Atlantic,Sep 2020,699
All solar : Middle Atlantic,Oct 2020,547
All solar : Middle Atlantic,Nov 2020,440
All solar : Middle Atlantic,Dec 2020,383
All solar : Middle Atlantic,Jan 2021,475
All solar : Middle Atlantic,Feb 2021,448
All solar : Middle Atlantic,Mar 2021,815
All solar : Middle Atlantic,Apr 2021,868
